no,타임스탬프,t_ms,t_rel_ms,시동ON_t_ms,시동OFF_t_ms,출발_t_ms,위도_x1e5,경도_x1e5,고도_m,속도_kmh,방위_deg,기기MAC,프로파일_id
1,2022-04-01 01:18:57,1648743537000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2,2022-04-01 01:18:57,1648743537000,0,-1,-1,-1,3788939,12706406,0,0,231,-1,-1
3,2022-04-01 01:18:57,1648743537000,0,-1,1648738797000,1648738837000,-1,-1,-1,-1,-1,-1,-1
4,2022-04-01 01:18:57,1648743537000,0,-1,-1,-1,3788968,12705699,68,0,267,-1,-1
5,2022-04-01 07:22:00,1648765320000,21783000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
6,2022-04-01 07:22:00,1648765320000,21783000,-1,-1,-1,3747056,12704363,0,0,316,-1,-1
7,2022-04-01 07:22:00,1648765320000,21783000,-1,1648763387000,1648763428000,-1,-1,-1,-1,-1,-1,-1
8,2022-04-01 07:22:00,1648765320000,21783000,-1,-1,-1,3748176,12706931,54,0,48,-1,-1
9,2022-04-01 08:58:44,1648771124000,27587000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
10,2022-04-01 08:58:44,1648771124000,27587000,-1,-1,-1,3747062,12704369,0,0,226,-1,-1
11,2022-04-01 08:58:44,1648771124000,27587000,-1,1648765513000,1648765537000,-1,-1,-1,-1,-1,-1,-1
12,2022-04-01 08:58:44,1648771124000,27587000,-1,-1,-1,3749602,12709093,28,4,292,-1,-1
13,2022-04-02 03:26:14,1648837574000,94037000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
14,2022-04-02 03:26:14,1648837574000,94037000,-1,-1,-1,3788936,12706409,0,0,234,-1,-1
15,2022-04-02 03:26:14,1648837574000,94037000,-1,1648836673000,1648836721000,-1,-1,-1,-1,-1,-1,-1
16,2022-04-02 05:25:24,1648844724000,101187000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
17,2022-04-02 05:25:24,1648844724000,101187000,-1,-1,-1,3790437,12704560,0,0,173,-1,-1
18,2022-04-02 05:25:24,1648844724000,101187000,1648843965000,1648844721000,1648844025000,-1,-1,-1,-1,-1,-1,-1
19,2022-04-02 07:19:46,1648851586000,108049000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
20,2022-04-02 07:19:46,1648851586000,108049000,-1,-1,-1,3788935,12706413,0,0,235,-1,-1
21,2022-04-02 07:19:46,1648851586000,108049000,-1,1648849052000,1648849288000,-1,-1,-1,-1,-1,-1,-1
22,2022-04-02 07:19:46,1648851586000,108049000,-1,-1,-1,3789028,12706092,78,0,272,-1,-1
23,2022-04-02 08:48:16,1648856896000,113359000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
24,2022-04-02 08:48:16,1648856896000,113359000,-1,-1,-1,3775107,12711913,0,0,86,-1,-1
25,2022-04-02 08:48:16,1648856896000,113359000,-1,1648854725000,1648854800000,-1,-1,-1,-1,-1,-1,-1
26,2022-04-02 08:48:16,1648856896000,113359000,-1,-1,-1,3777803,12707705,106,68,351,-1,-1
27,2022-04-03 06:28:33,1648934913000,191376000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
28,2022-04-03 06:28:33,1648934913000,191376000,-1,-1,-1,3788933,12706404,0,0,235,-1,-1
29,2022-04-03 06:28:33,1648934913000,191376000,-1,1648934426000,1648934474000,-1,-1,-1,-1,-1,-1,-1
30,2022-04-03 07:44:24,1648939464000,195927000,-1,-1,-1,3790003,12707046,0,0,59,-1,-1
31,2022-04-03 07:44:24,1648939464000,195927000,-1,1648939410000,-1,-1,-1,-1,-1,-1,-1,-1
32,2022-04-03 07:44:24,1648939464000,195927000,-1,-1,-1,3790003,12707046,0,0,59,-1,-1
33,2022-04-03 07:44:24,1648939464000,195927000,-1,1648939410000,-1,-1,-1,-1,-1,-1,-1,-1
34,2022-04-03 07:59:41,1648940381000,196844000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
35,2022-04-03 07:59:41,1648940381000,196844000,-1,-1,-1,3789976,12706976,0,19,154,-1,-1
36,2022-04-03 07:59:41,1648940381000,196844000,1648939462000,1648940378000,1648939514000,-1,-1,-1,-1,-1,-1,-1
37,2022-04-03 07:59:41,1648940381000,196844000,-1,-1,-1,3788936,12706404,94,0,15,-1,-1
38,2022-04-04 01:30:34,1649003434000,259897000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
39,2022-04-04 01:30:34,1649003434000,259897000,-1,-1,-1,3788935,12706403,0,0,245,-1,-1
40,2022-04-04 01:30:34,1649003434000,259897000,-1,-32400000,1648998114000,-1,-1,-1,-1,-1,-1,-1
41,2022-04-04 01:30:34,1649003434000,259897000,-1,-1,-1,3777065,12707933,103,82,156,-1,-1
42,2022-04-04 07:55:48,1649026548000,283011000,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
