dataset,radius,slot,step_input,he_output,dist_km
k5_jellybean,0.2,1,-9.531216596463327e-06,4.972474160076276e-10,2.7382851644765065
k5_jellybean,0.2,3,-9.677557436769352e-06,-6.085037739640518e-10,2.759115399815683
k5_jellybean,0.2,5,-0.0024315953807138727,6.943142854729915e-10,43.62075991901769
k5_jellybean,0.2,7,-0.0022937831312303267,1.0449283971281362e-09,42.366640135419495
k5_jellybean,0.2,9,-0.002430836844200831,6.616885335768717e-10,43.61395578035329
k5_jellybean,0.2,11,-0.0021348500939194145,-5.696020001983686e-11,40.87256557694776
k5_jellybean,0.2,13,-9.510646040017876e-06,1.3735050879718506e-10,2.7353444243328706
k5_jellybean,0.2,16,-2.6402978953982652e-05,-1.2729234222007823e-10,4.549770369051294
k5_jellybean,0.2,19,-9.506254080203054e-06,2.694148102383273e-10,2.734716145776295
k5_jellybean,0.2,21,-1.0070189752329867e-05,-3.1690112140574386e-10,2.814241239990112
k5_jellybean,0.2,23,-0.00023673725779782282,-1.3478031631190218e-10,13.612039375818723
k5_jellybean,0.2,25,-0.00012057787778772747,-5.970329430585757e-10,9.715582940922562
k5_jellybean,0.2,27,-9.483630795866522e-06,1.1942837011808458e-10,2.7314775506967157
k5_jellybean,0.2,29,-2.0383990527290877e-05,-3.6902618880891477e-10,3.9988165588507316
k5_jellybean,0.2,31,-2.0383990527290877e-05,3.5682247417082617e-10,3.9988165588507316
k5_jellybean,0.2,34,-1.99480980009067e-05,-4.788805601512314e-11,3.9559381515574787
k5_jellybean,0.2,36,-9.506604233368374e-06,-3.3568325649256195e-10,2.7347662411756772
k5_jellybean,0.2,38,-9.49814085659661e-06,5.936564179224837e-10,2.7335551532949536
k5_jellybean,0.2,40,-0.00014226947992216894,-5.558131527061893e-10,10.553023062950583
k5_jellybean,0.2,42,-0.0024310800252327134,-5.789116242170553e-10,43.616137251012674
k5_jellybean,0.2,44,-0.0024278080668253274,-3.474555920048761e-10,43.58677679535813
k5_jellybean,0.2,46,-0.0024310800252327134,-6.554252697793111e-10,43.616137251012674
k5_jellybean,0.2,48,-0.0024278080668253274,-4.642758807124269e-11,43.58677679535813
k5_jellybean,0.2,50,-8.247278603428399e-06,-6.53106160314649e-10,2.5482386666733046
k5_jellybean,0.2,53,-8.24242019668566e-06,-6.223988058401489e-10,2.547492607338856
k5_jellybean,0.2,56,-8.24242019668566e-06,-2.3274431691781583e-10,2.547492607338856
