dataset,radius,slot,dist_km,plain,decrypted
k5_kitkat,0.2,5104,0.0,1,0.9999999994062843
k5_kitkat,0.2,4,0.4409954260355939,0,3.202881987095033e-10
k5_kitkat,0.2,6668,0.47364704428899806,0,-2.696176388511898e-10
k5_kitkat,0.2,3686,0.6532164191039603,0,-1.0606577549258908e-09
k5_kitkat,0.2,6621,0.6860880309594772,0,7.312615041958979e-11
k5_kitkat,0.2,3953,0.694041173379335,0,1.4769672676236647e-09
k5_kitkat,0.2,4158,0.6951084798909942,0,2.4499798421091514e-10
k5_kitkat,0.2,4152,0.6951084798909942,0,3.9034861930263345e-12
k5_kitkat,0.2,4162,0.8009906632840168,0,-5.416764450720481e-11
k5_kitkat,0.2,4147,2.7293503042522875,0,-3.0393936851538345e-10
k5_kitkat,0.2,6208,6.696800071541991,0,-1.8654284751869087e-10
k5_kitkat,0.2,3576,7.164848777231444,0,-9.593608056479654e-10
k5_kitkat,0.2,4142,12.38977210253078,0,-3.4270218873272704e-10
k5_kitkat,0.2,4800,27.737444092285553,0,1.5344015847406418e-10
k5_kitkat,0.2,4714,28.08202447419198,0,-1.372348795321209e-09
k5_kitkat,0.2,1191,56.319647110767455,0,2.347159682016205e-10
k5_kitkat,0.2,1199,56.319647110767455,0,3.628183858240664e-11
k5_kitkat,0.2,1196,56.319647110767455,0,7.781030564644509e-10
k5_kitkat,0.2,2960,149.65183800739752,0,-8.949846433890524e-10
k5_kitkat,0.2,2965,149.65183800739752,0,-6.867748244878845e-10
k5_kitkat,0.2,1212,160.63315431444488,0,1.0978089314200615e-10
k5_kitkat,0.2,1285,161.12073149233893,0,-8.85277063824449e-10
k5_kitkat,0.2,1274,161.13088292827368,0,-3.2608983460406105e-10
k5_kitkat,0.2,1434,161.13217815199386,0,5.020585431113794e-10
k5_kitkat,0.2,1436,161.13217815199386,0,-4.1607605815574173e-10
k5_kitkat,0.2,1469,161.13888763510175,0,-6.229960082092981e-10
k5_kitkat,0.2,1559,161.25334783696044,0,1.4638652022588317e-09
k5_kitkat,0.2,1295,161.45818193108852,0,-4.387065607569064e-10
k5_kitkat,0.2,1321,161.58348936223618,0,-4.171400105132876e-12
k5_kitkat,0.2,1356,161.64507497029015,0,4.681831848471471e-10
k5_kitkat,0.2,2236,163.31561600939582,0,2.4734862329327437e-11
k5_kitkat,0.2,2281,163.48428660718577,0,2.7460215531766966e-11
k5_kitkat,0.2,2562,164.79620866653784,0,1.030232878906418e-10
k5_kitkat,0.2,2535,164.95175122326265,0,6.320644350472308e-10
k5_kitkat,0.2,1783,164.95640938244406,0,2.8692266983348914e-10
k5_kitkat,0.2,1748,164.9726151381024,0,-4.702445788542902e-10
k5_kitkat,0.2,2402,165.14297248639346,0,-4.0863369017525477e-10
k5_kitkat,0.2,2660,166.66299215175732,0,7.05189646824978e-10
k5_kitkat,0.2,2646,166.66299215175732,0,-4.778958589694798e-11
k5_kitkat,0.2,2623,166.71201384608878,0,3.311865276360356e-10
k5_kitkat,0.2,0,530.7628267484527,0,8.25176794144227e-10
k5_kitkat,0.2,1,530.7628267484527,0,6.103937527886327e-10
k5_kitkat,0.5,5104,0.0,1,0.999999999395534
k5_kitkat,0.5,4,0.4409954260355939,1,1.0000000002171872
k5_kitkat,0.5,6668,0.47364704428899806,1,1.000000000248811
k5_kitkat,0.5,3686,0.6532164191039603,0,-4.843746265211972e-10
k5_kitkat,0.5,6621,0.6860880309594772,0,1.2962372793833332e-10
k5_kitkat,0.5,3953,0.694041173379335,0,-3.363031333259257e-10
k5_kitkat,0.5,4158,0.6951084798909942,0,-3.0925766418525425e-10
k5_kitkat,0.5,4152,0.6951084798909942,0,-2.461227170604631e-10
k5_kitkat,0.5,4162,0.8009906632840168,0,1.983516629762211e-10
k5_kitkat,0.5,4147,2.7293503042522875,0,-1.0047310997847679e-09
k5_kitkat,0.5,6208,6.696800071541991,0,-4.031631819518313e-10
k5_kitkat,0.5,3576,7.164848777231444,0,7.204484537402948e-11
k5_kitkat,0.5,4142,12.38977210253078,0,2.612863780666124e-10
k5_kitkat,0.5,4800,27.737444092285553,0,3.4083680487255263e-10
k5_kitkat,0.5,4714,28.08202447419198,0,-1.1548405589323043e-09
k5_kitkat,0.5,1191,56.319647110767455,0,2.7824778896244763e-10
k5_kitkat,0.5,1199,56.319647110767455,0,1.6603639933438233e-10
k5_kitkat,0.5,1196,56.319647110767455,0,7.173724453754997e-10
k5_kitkat,0.5,2960,149.65183800739752,0,9.834744531919803e-10
k5_kitkat,0.5,2965,149.65183800739752,0,-1.739445021629813e-10
k5_kitkat,0.5,1212,160.63315431444488,0,2.7694828139717764e-11
k5_kitkat,0.5,1285,161.12073149233893,0,5.816412889172896e-10
k5_kitkat,0.5,1274,161.13088292827368,0,2.065381847886633e-10
k5_kitkat,0.5,1434,161.13217815199386,0,2.8011179434875766e-10
k5_kitkat,0.5,1436,161.13217815199386,0,2.6428165960421785e-10
k5_kitkat,0.5,1469,161.13888763510175,0,3.745382029469485e-11
k5_kitkat,0.5,1559,161.25334783696044,0,1.93356722931094e-09
k5_kitkat,0.5,1295,161.45818193108852,0,-4.543339133987665e-10
k5_kitkat,0.5,1321,161.58348936223618,0,3.03884744642573e-11
k5_kitkat,0.5,1356,161.64507497029015,0,-9.950928462103278e-11
k5_kitkat,0.5,2236,163.31561600939582,0,-3.644919091153884e-10
k5_kitkat,0.5,2281,163.48428660718577,0,-3.719910253139354e-11
k5_kitkat,0.5,2562,164.79620866653784,0,-3.250898434897406e-10
k5_kitkat,0.5,2535,164.95175122326265,0,3.1767044805247303e-10
k5_kitkat,0.5,1783,164.95640938244406,0,6.941691713420992e-10
k5_kitkat,0.5,1748,164.9726151381024,0,-4.429452472655578e-10
k5_kitkat,0.5,2402,165.14297248639346,0,6.053641369926549e-10
k5_kitkat,0.5,2660,166.66299215175732,0,9.19501278814961e-10
k5_kitkat,0.5,2646,166.66299215175732,0,-8.5680169327932e-10
k5_kitkat,0.5,2623,166.71201384608878,0,3.5964073757566194e-11
k5_kitkat,0.5,0,530.7628267484527,0,-2.973454426412559e-11
k5_kitkat,0.5,1,530.7628267484527,0,-2.9532366074769914e-10
k5_kitkat,1.0,5104,0.0,1,0.9999999996515447
k5_kitkat,1.0,4,0.4409954260355939,1,1.0000000005106418
k5_kitkat,1.0,6668,0.47364704428899806,1,0.9999999999615367
k5_kitkat,1.0,3686,0.6532164191039603,1,1.000000000416895
k5_kitkat,1.0,6621,0.6860880309594772,1,0.9999999997548813
k5_kitkat,1.0,3953,0.694041173379335,1,1.0000000013486006
k5_kitkat,1.0,4158,0.6951084798909942,1,0.99999999952522
k5_kitkat,1.0,4152,0.6951084798909942,1,0.9999999997196867
k5_kitkat,1.0,4162,0.8009906632840168,1,1.0000000004988843
k5_kitkat,1.0,4147,2.7293503042522875,0,-1.481389593684312e-10
k5_kitkat,1.0,6208,6.696800071541991,0,7.017576881533669e-10
k5_kitkat,1.0,3576,7.164848777231444,0,5.626442386239472e-10
k5_kitkat,1.0,4142,12.38977210253078,0,-3.356522149993163e-10
k5_kitkat,1.0,4800,27.737444092285553,0,-5.808810344015972e-10
k5_kitkat,1.0,4714,28.08202447419198,0,-9.50097341588539e-10
k5_kitkat,1.0,1191,56.319647110767455,0,7.836749696230156e-11
k5_kitkat,1.0,1199,56.319647110767455,0,-3.863940680151381e-10
