row,t_real,speed,incr_out,incr_cipher,incr_plain,over_out,over_cipher,over_plain,win_out,win_cipher,win_plain
0,-5020,42,1.000000000476227,1,1,-1.824113733575417e-11,0,0,-6.249775844353379e-10,0,0
1,-4520,46,0.9999999999922546,1,1,-8.252578857812641e-10,0,0,-5.482591304063405e-10,0,0
2,-4020,50,0.9999999992494364,1,1,3.9099090969162467e-10,0,0,6.798904759996983e-11,0,0
3,-3520,53,1.0000000000856883,1,1,-8.752228942273494e-11,0,0,-1.0453259684352997e-10,0,0
4,-3020,56,1.0000000003831064,1,1,1.1677657627530884e-10,0,0,-3.19286909171786e-10,0,0
5,-2520,59,1.0000000006591174,1,1,2.4242738519490494e-10,0,0,1.0000000003418537,1,1
6,-2020,61,1.0000000004462706,1,1,0.9999999997558753,1,1,0.9999999987869053,1,1
7,-1520,64,0.9999999996477437,1,1,0.9999999999527434,1,1,1.0000000008477308,1,1
8,-1020,66,1.000000000157044,1,1,1.000000000530314,1,1,0.9999999987875383,1,1
9,-520,68,1.0000000012049266,1,1,1.000000000562714,1,1,-1.499379506268753e-09,0,0
10,-20,5,-1.1251349851804093e-10,0,0,-1.5357046878846252e-10,0,0,1.2167123740504676e-10,0,0
11,-20,-1,8.409134499842708e-11,0,0,-1.420332489046122e-10,0,0,-1.0434234891172965e-10,0,0
12,-3,-1,0.5022397326304138,1,0,-5.181832086743072e-10,0,0,4.544298015269957e-10,0,0
13,0,-1,0.5171982652202693,1,0,-2.475215572028711e-10,0,0,-6.699761676637921e-11,0,0
14,5,-1,0.5117227428594123,1,0,-3.6733877717065233e-10,0,0,-3.576389070977448e-10,0,0
15,11,-1,0.4969908448741572,0,0,-1.2055307430146387e-10,0,0,5.49984378025559e-10,0,0
