radius,slot,step_input,he_output,dist_km
0.5,1,-9.262847020544438e-06,2.281817313884801e-10,2.7382851644765065
0.5,3,-9.409187860850463e-06,4.584141990638504e-10,2.759115399815683
0.5,5,-0.002431327011137954,-5.077992300372708e-10,43.62075991901769
0.5,7,-0.002293514761654408,-1.3554073958645233e-09,42.366640135419495
0.5,9,-0.002430568474624912,2.214274648906827e-11,43.61395578035329
0.5,11,-0.0021345817243434958,2.221051442471638e-10,40.87256557694776
0.5,13,-9.242276464098987e-06,3.487580255908508e-10,2.7353444243328706
0.5,16,-2.6134609378063764e-05,2.9428337368535666e-10,4.549770369051294
0.5,19,-9.237884504284165e-06,-5.771099255822177e-10,2.734716145776295
0.5,21,-9.801820176410977e-06,-1.881316226357139e-10,2.814241239990112
0.5,23,-0.00023646888822190395,-4.1542298691649555e-10,13.612039375818723
0.5,25,-0.00012030950821180858,-1.3818606674215865e-10,9.715582940922562
0.5,27,-9.215261219947632e-06,-3.663580316731015e-10,2.7314775506967157
0.5,29,-2.011562095137199e-05,8.517067959640497e-10,3.9988165588507316
0.5,31,-2.011562095137199e-05,3.1511482329361475e-10,3.9988165588507316
0.5,34,-1.967972842498781e-05,-1.6571658188141335e-10,3.9559381515574787
0.5,36,-9.238234657449485e-06,-5.292443924583868e-10,2.7347662411756772
0.5,38,-9.229771280677721e-06,5.173763406579351e-10,2.7335551532949536
0.5,40,-0.00014200111034625007,-7.481409896457993e-10,10.553023062950583
0.5,42,-0.0024308116556567947,1.95667581603435e-10,43.616137251012674
0.5,44,-0.0024275396972494086,-3.2615867820691185e-11,43.58677679535813
0.5,46,-0.0024308116556567947,1.2655789535189448e-10,43.616137251012674
0.5,48,-0.0024275396972494086,3.1184323332704036e-10,43.58677679535813
0.5,50,-7.97890902750951e-06,3.6458109098885424e-10,2.5482386666733046
0.5,53,-7.974050620766771e-06,5.490068327633653e-10,2.547492607338856
0.5,56,-7.974050620766771e-06,3.3405203629280437e-10,2.547492607338856
0.5,59,-7.974050620766771e-06,5.595166946729748e-10,2.547492607338856
